,id_mutation,date_mutation,nature_mutation,valeur_fonciere,code_commune,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain
5893,2018-451534,2018-04-20,Vente,345000.0,34172,Montpellier,Maison,81.0,5.0,sols,357.0
5925,2018-451556,2018-05-07,Vente,250000.0,34172,Montpellier,Maison,78.0,4.0,sols,535.0
5984,2018-451592,2018-04-26,Vente,250000.0,34172,Montpellier,Maison,72.0,4.0,sols,239.0
5986,2018-451594,2018-05-04,Vente,260000.0,34172,Montpellier,Maison,115.0,4.0,sols,470.0
6228,2018-451614,2018-05-14,Vente,200000.0,34172,Montpellier,Maison,108.0,5.0,,
6240,2018-451621,2018-05-02,Vente,530005.0,34172,Montpellier,Maison,98.0,3.0,sols,338.0
6260,2018-451634,2018-04-27,Vente,230150.0,34172,Montpellier,Maison,90.0,4.0,sols,238.0
6303,2018-451661,2018-05-03,Vente,464090.0,34172,Montpellier,Maison,185.0,7.0,sols,614.0
6317,2018-451668,2018-04-19,Vente,263000.0,34172,Montpellier,Maison,81.0,5.0,sols,309.0
6345,2018-451687,2018-04-19,Vente,214350.0,34172,Montpellier,Maison,77.0,4.0,sols,149.0
6366,2018-451699,2018-04-17,Vente,265000.0,34172,Montpellier,Maison,81.0,5.0,sols,279.0
6382,2018-451709,2018-04-16,Vente,309000.0,34172,Montpellier,Maison,108.0,7.0,sols,137.0
6505,2018-451776,2018-04-23,Vente,340000.0,34172,Montpellier,Maison,100.0,4.0,sols,295.0
6516,2018-451783,2018-04-16,Vente,267000.0,34172,Montpellier,Maison,98.0,5.0,,
6540,2018-451798,2018-05-17,Vente,268000.0,34172,Montpellier,Maison,83.0,4.0,sols,231.0
6550,2018-451804,2018-05-04,Vente,1300000.0,34172,Montpellier,Maison,235.0,6.0,sols,700.0
6551,2018-451804,2018-05-04,Vente,1300000.0,34172,Montpellier,Maison,235.0,6.0,terrains d'agrément,655.0
6569,2018-451817,2018-04-26,Vente,30000.0,34172,Montpellier,Maison,101.0,3.0,sols,129.0
6702,2018-451877,2018-05-15,Vente,205000.0,34172,Montpellier,Maison,74.0,4.0,sols,56.0
6756,2018-451914,2018-04-06,Vente,270000.0,34172,Montpellier,Maison,65.0,4.0,sols,60.0
6788,2018-451936,2018-04-27,Vente,180000.0,34172,Montpellier,Maison,87.0,4.0,,
6817,2018-451956,2018-05-03,Vente,420600.0,34172,Montpellier,Maison,113.0,5.0,sols,276.0
6823,2018-451960,2018-05-02,Vente,182000.0,34172,Montpellier,Maison,85.0,4.0,,
6841,2018-451970,2018-05-02,Vente,292000.0,34172,Montpellier,Maison,192.0,6.0,terrains d'agrément,1179.0
6842,2018-451970,2018-05-02,Vente,292000.0,34172,Montpellier,Maison,192.0,6.0,sols,500.0
6999,2018-452061,2018-05-14,Vente,930000.0,34172,Montpellier,Maison,165.0,7.0,sols,571.0
7000,2018-452061,2018-05-14,Vente,930000.0,34172,Montpellier,Maison,165.0,7.0,jardins,631.0
7064,2018-452099,2018-05-11,Vente,200000.0,34172,Montpellier,Maison,30.0,2.0,,
7077,2018-452107,2018-05-03,Vente,299000.0,34172,Montpellier,Maison,115.0,5.0,sols,267.0
7094,2018-452120,2018-05-11,Vente,225000.0,34172,Montpellier,Maison,70.0,4.0,sols,697.0
7123,2018-452139,2018-05-23,Vente,476500.0,34172,Montpellier,Maison,97.0,5.0,sols,312.0
7142,2018-452152,2018-05-02,Vente,155000.0,34172,Montpellier,Maison,65.0,4.0,sols,404.0
7144,2018-452152,2018-05-02,Vente,155000.0,34172,Montpellier,Maison,82.0,4.0,terrains a bâtir,245.0
7179,2018-452171,2018-05-03,Vente,151000.0,34172,Montpellier,Maison,32.0,2.0,sols,57.0
7191,2018-452179,2018-05-04,Vente,207000.0,34172,Montpellier,Maison,61.0,3.0,,
7211,2018-452193,2018-05-03,Vente,401450.0,34172,Montpellier,Maison,125.0,4.0,sols,896.0
7224,2018-452201,2018-05-07,Vente,2162000.0,34172,Montpellier,Maison,390.0,12.0,sols,794.0
7225,2018-452201,2018-05-07,Vente,2162000.0,34172,Montpellier,Maison,390.0,12.0,terrains d'agrément,1000.0
7246,2018-452214,2018-05-14,Vente,111100.0,34172,Montpellier,Maison,90.0,4.0,sols,110.0
7253,2018-452220,2018-05-23,Vente,164000.0,34172,Montpellier,Maison,78.0,4.0,sols,173.0
7315,2018-452255,2018-05-07,Vente,370000.0,34172,Montpellier,Maison,150.0,6.0,sols,510.0
7353,2018-452277,2018-05-17,Vente,274000.0,34172,Montpellier,Maison,110.0,4.0,sols,288.0
7446,2018-452331,2018-05-17,Vente,100000.0,34172,Montpellier,Maison,53.0,3.0,,
7470,2018-452348,2018-05-31,Vente,375000.0,34172,Montpellier,Maison,82.0,5.0,sols,348.0
7492,2018-452366,2018-05-28,Vente,340000.0,34172,Montpellier,Maison,73.0,4.0,sols,491.0
7500,2018-452372,2018-03-30,Vente,1044500.0,34172,Montpellier,Maison,168.0,5.0,sols,1044.0
7515,2018-452384,2018-05-09,Vente,355000.0,34172,Montpellier,Maison,85.0,4.0,sols,301.0
7536,2018-452398,2018-05-31,Vente,114000.0,34172,Montpellier,Maison,58.0,3.0,sols,320.0
7537,2018-452398,2018-05-31,Vente,114000.0,34172,Montpellier,Maison,70.0,3.0,sols,320.0
7551,2018-452404,2018-06-04,Vente,383300.0,34172,Montpellier,Maison,97.0,4.0,sols,500.0
7566,2018-452412,2018-05-22,Vente,316502.0,34172,Montpellier,Maison,93.0,4.0,sols,682.0
7579,2018-452422,2018-05-31,Vente,310000.0,34172,Montpellier,Maison,118.0,5.0,sols,324.0
7594,2018-452429,2018-06-01,Vente,408500.0,34172,Montpellier,Maison,77.0,4.0,sols,320.0
7607,2018-452437,2018-05-31,Vente,215000.0,34172,Montpellier,Maison,81.0,5.0,sols,134.0
7663,2018-452470,2018-05-23,Vente,423200.0,34172,Montpellier,Maison,141.0,4.0,,
7762,2018-452531,2018-05-18,Vente,2500000.0,34172,Montpellier,Maison,189.0,6.0,sols,2029.0
7763,2018-452531,2018-05-18,Vente,2500000.0,34172,Montpellier,Maison,189.0,6.0,terrains d'agrément,3495.0
7764,2018-452531,2018-05-18,Vente,2500000.0,34172,Montpellier,Maison,189.0,6.0,terrains d'agrément,2655.0
7820,2018-452555,2018-05-16,Vente,67500.0,34172,Montpellier,Maison,45.0,3.0,sols,161.0
7872,2018-452584,2018-06-07,Vente,294000.0,34172,Montpellier,Maison,67.0,4.0,sols,227.0
